Container is store 100 languages:
This is Procedural: name = LDBUTDVAIT  year = 1945  popularity = 68.21 abstract variables = False, Calculation = 194.5
This is Procedural: name = CRZEUGHKZE  year = 1945  popularity = 51.89 abstract variables = False, Calculation = 194.5
This is Procedural: name = GNBYZWYVMZ  year = 1993  popularity = 52.3 abstract variables = True, Calculation = 199.3
This is Procedural: name = VLBBKSSSIB  year = 2011  popularity = 20.08 abstract variables = False, Calculation = 201.1
This is Object Oriented: name = EIHAVJUPXY  year = 1989  popularity = 40.62 abstract variables = False legacy = SINGLE, Calculation = 198.9
This is Functional: name = HRFFFIXBOV  year = 2017  popularity = 28.46 lazy calculation = True legacy = STRICT, Calculation = 201.7
This is Object Oriented: name = VELIMXRLJS  year = 1999  popularity = 85.68 abstract variables = True legacy = MULTIPLE, Calculation = 199.9
This is Procedural: name = QWSJXEQMCL  year = 1979  popularity = 68.47 abstract variables = True, Calculation = 197.9
This is Object Oriented: name = GVWOJASKWF  year = 1949  popularity = 17.72 abstract variables = False legacy = MULTIPLE, Calculation = 194.9
This is Procedural: name = YRGHCLYWFP  year = 2010  popularity = 55.85 abstract variables = True, Calculation = 201.0
This is Object Oriented: name = HSJQOBHQFI  year = 1957  popularity = 46.77 abstract variables = False legacy = MULTIPLE, Calculation = 195.7
This is Procedural: name = KBDYLUBJZY  year = 1969  popularity = 89.5 abstract variables = True, Calculation = 196.9
This is Object Oriented: name = EPBPVOXLWJ  year = 1965  popularity = 86.4 abstract variables = False legacy = MULTIPLE, Calculation = 196.5
This is Object Oriented: name = RQYKYERHBP  year = 2003  popularity = 24.9 abstract variables = False legacy = SINGLE, Calculation = 200.3
This is Procedural: name = DENEJDFHQB  year = 2002  popularity = 48.54 abstract variables = True, Calculation = 200.2
This is Procedural: name = TNYCPWVBRS  year = 1945  popularity = 81.65 abstract variables = True, Calculation = 194.5
This is Procedural: name = KYXODMWVHN  year = 1969  popularity = 42.34 abstract variables = False, Calculation = 196.9
This is Functional: name = ZURXMHXJUS  year = 1953  popularity = 64.64 lazy calculation = False legacy = ERROR, Calculation = 195.3
This is Procedural: name = WPIROOAXQS  year = 1970  popularity = 71.68 abstract variables = True, Calculation = 197.0
This is Object Oriented: name = ZQYUQTQOZO  year = 1964  popularity = 20.07 abstract variables = True legacy = MULTIPLE, Calculation = 196.4
This is Procedural: name = YQJWQFCUQS  year = 1984  popularity = 74.64 abstract variables = True, Calculation = 198.4
This is Functional: name = PEJLQOFPGG  year = 1969  popularity = 54.87 lazy calculation = True legacy = ERROR, Calculation = 196.9
